"Which of the following schools would you think this course is most aligned to (the name of the school may be changed (and in fact I would like suggestions)). The idea is to provide each course emphasis, by clearly conveying it's interest domain to audience and hopefully get more registrations.",School ID,Course ID,Course Name,Club,Desc_short,Desc,Week_time,Evaluation,Certification,Pre-req,Contact info,Week 1,Week 2,Week 3,Week 4,Week Null
"The Science Summer School (Pure Sciences like Maths, Biology, Physics, Chemistry, Economics*)",1,16,Game Theory,Maths and Physics Club,"Step into the world of rational decision-making by learning the fundamentals of Game Theory in this wonderful course! Take your first steps toward this deeply strategic field that shapes economics, politics, biology, and everyday life and uncover the principles behind how rational individuals make decisions.","Step into the world of strategic thinking with this introductory course on Game Theory. Across four weeks, you'll explore rational decision-making through iconic games like the Prisoner’s Dilemma, delve into Nash equilibria in both pure and mixed strategies, and understand how fairness and efficiency play into group decisions. The course wraps up with Arrow’s Impossibility Theorem, revealing the mathematical limits of democratic systems. By the end of this course, you’ll have taken strong leap into the strategic mindset that shapes economics, equipping yourself with essential tools to make rational decisions in complex scenarios",3 hours,25% Each for 4 weeks,Should score above 70% across the course,Just your enthusiasm!,"Soham (8602586808), Nirav (9511896571)",We begin with the motivation behind game theory by exploring classic examples like chess. Know the classic Prisoner’s Dilemma through normal form games and discover the fundamental idea of rationality.,"Go deeper into the structure of normal form games. Learn about domination, Nash equilibrium, focusing on Pure Strategy Nash Equilibria (PSNE) and what it mean.","Learn the concept of Mixed Strategies, The fundamental idea behind Mixed Strategy Nash Equilibria (MSNE), Prove the existence of MSNE, Start exploring the idea of Social Welfare Functions (SWF)","Wrap up by exploring Arrow's Social Welfare Setup, introduce fairness notions such as Pareto Efficiency (PE) and Independence of Irrelevant Alternatives (IIA), Conclude with proving how democracy is mathematically impossible (Arrow's Impossibility Theorem)",
"The Science Summer School (Pure Sciences like Maths, Biology, Physics, Chemistry, Economics*)",1,17,Introduction to Astronomical Image Processing,Krittika,"Even though the Universe appears to be beyond our reach, it communicates with us, giving us information through electromagnetic radiation. Astronomical Imaging teaches us how to gather and interpret this information. This learner’s space course will explain its workings and teach you how to process those famous images from Hubble and the JWST.","The course covers the principles of imaging systems while providing an overview of astronomical imaging techniques. You’ll learn more about multiwavelength imaging and work with data from ground-based telescopes, Hubble, JWST, and more, while doing comparative analysis. The main focus will be on learning image processing and the science behind it.
If you are an astrophile like the people in Krittika but haven’t had the opportunity to learn how to process raw data and delve deep into its workings, this is the perfect opportunity for you!",6-7 hours,"Small weekly quizzes - module wise
Final Processing assignment with a quiz",Completion of processing assignment and attendance of more than 50% in the live processing sessions,Just your enthusiasm!,Ruhaan (8805375670),"Module 1: Introduction to imaging Systems
Module 2: containing topics about thermal and non-thermal emission,Reading data from various telescopes like JWST, Hubble etc. ","Image processing session 1(Planets or Moon)-Live online session
Module 3: Light detection, photon noise,flux magnitude and basics of CCDs(Charge coupled devices)","Deep Sky Image processing session 1-Live online session
Module 4: Basics of Image processing techniques, Seeing and Scintillation","Deep Sky Image processing session 2-Live online session
Module 5 : Spectroscopy and photometry ",
"The Science Summer School (Pure Sciences like Maths, Biology, Physics, Chemistry, Economics*)",1,18,Evolution 101,BioX Club ,"Explore how life began, how species change, and how humans fit into the grand evolutionary puzzle. This course blends ancient Earth history with cutting-edge genetics, real-world examples like antibiotic resistance, and powerful tools like Python and BLAST to decode life’s story. Whether you're into fossils, DNA, or digital biology — EvoQuest offers a thrilling dive into the science that connects us all.","EvoQuest is an immersive journey through the science of evolution — from life’s earliest molecular origins to the genetic and cultural evolution of humans. This course blends classical evolutionary theory with cutting-edge molecular biology, computational tools, and real-world applications to give you a comprehensive and hands-on understanding of life’s dynamic history.

You’ll explore how life may have first emerged from non-living chemistry, uncover the evolutionary milestones revealed by fossils and comparative anatomy, and examine the genetic mechanisms that drive diversity and change over time. Core topics include natural selection, mutation theory, speciation, adaptive radiation, and coevolution, all backed by real-world case studies such as antibiotic resistance, pesticide adaptation, and the evolutionary success of Darwin’s finches.

But EvoQuest goes far beyond theory — you'll also gain practical skills in bioinformatics, learning the basics of Python and Biopython, exploring sequence databases, and using tools like BLAST to analyze genetic data. You’ll learn how scientists build and interpret phylogenetic trees, estimate evolutionary divergence times, and assess the reliability of evolutionary hypotheses using techniques like bootstrapping.

We’ll also dive into groundbreaking fields such as epigenetics, where inheritance is not just about DNA, and evolutionary medicine, which reveals how evolutionary principles apply directly to human health and disease.

Whether you're passionate about the origins of life, fascinated by genetics, or looking to apply computational tools in biology, EvoQuest equips you with the knowledge and skills to explore evolution from every angle.

tools used are:

Python Programming (Basics)
Biopython
NCBI Databases
BLAST (Basic Local Alignment Search Tool)
Sequence Alignment Tools 
 Phylogenetic Tree Construction & Analysis",5 hours,"Each week will conclude with an assignment based on that week’s topics to reinforce learning and track progress.project overview:Build a simple evolutionary tree using DNA data to explore how species are related. You'll use tools like NCBI, BLAST, ClustalW, MEGA X, and Biopython.
refine it",70% in assignments and project completion,Just your enthusiasm!,"Adwai (8019831015), Reet (8087038860), Jovita (8657467118)","Foundations of Evolution
1) Origin of Life
•        Abiogenesis
•        Oparin-Haldane Theory
•        Miller-Urey Experiment
2) Chemical Evolution
•        Prebiotic Chemistry
•        RNA World Hypothesis
3) Geological Time Scale
•        Eons, Eras, and Key Events in Earth’s History
4) Evidences of Evolution
•        Fossils
•        Comparative Anatomy
•        Embryology
•        Molecular Biology
5) Darwinism
•        Natural Selection
•        Peppered Moth Case
6) Mutation Theory
•        Role of Mutations
•        Causes
•        Effects
•        Examples
Additional Topics:
1.        Extremophiles & Early Life
•        How Extremophiles Inform About Early Life?
2.        Fossil Record Analysis
","Mechanisms of Evolution
1) Modern Synthetic Theory
•        Combining Genetics + Darwinism
2) Hardy-Weinberg Principle
•        Equilibrium
•        Allele Frequencies
3) Speciation
•        Allopatric Speciation
•        Sympatric Speciation
•        Polyploidy
4) Adaptive Radiation
•        Darwin’s Finches
•        Hawaiian Silverswords
5) Mechanisms of Organic Evolution
•        Gene Flow
•        Genetic Drift
•        Population Bottlenecks
Additional Topic:
1.        Neutral Theory of Evolution
","Speciation and Adaptation
1) Coevolution
•        Mutualism
•        Predator-Prey Arms Races
2) Python Basics
3) Biopython Introduction
4) Sequence Databases & BLAST
5) Sequence Alignment Concepts
Additional Topic:
1.        Epigenetics & Evolution
•        Non-Genetic Inheritance Mechanisms
","Human Evolution & Applied Evolution
1) Human Evolution
•        Hominin Lineage
•        Genetic and Cultural Evolution
2) Applied Evolution
•        Antibiotic Resistance
•        Pesticide Resistance
•        Conservation Genetics
3) Evolutionary Medicine
4) Constructing Phylogenetic Trees
5) Divergence Time Estimation
6) Tree Reliability: Bootstrapping
",
The Sports and Skills Summer School,4,41,Analyzing the Impact of IPL Player Performance on Salaries using Machine Learning,Institute Sports Council,"Ever wondered how to avoid a ₹27 Crore mistake like LSG did?
Want to make sure your future IPL team doesn’t end up burning crores on underperformers, here’s your chance to crack the code of predicting player salaries based on performance – and learn how to bid smart at the auction table!
Don't miss out – this is where data meets cricket, and crores are either made or lost.","Course Overview:
The IPL auction is a high-stakes battlefield where crores are spent in minutes. But what separates a smart bid from a ₹27 crore mistake (yes, we’re looking at you, LSG)? This course is designed to help you decode the science behind auction dynamics, understand performance metrics, and build predictive models to estimate player salaries — so you can bid like a pro, not just a fan.

#What You'll Learn:
1) Fundamentals of Performance Analytics: Learn what stats truly matter – batting averages, strike rates, economy, consistency metrics, match context, and more.
2) Building Predictive Models: Dive into machine learning and regression techniques to forecast a player’s value using historical data.
3) Decoding Auction Strategy: Understand team compositions, auction behavior, role scarcity, and how hype impacts pricing.
4) Case Study: The ₹27 Crore Gamble: Deep-dive into Lucknow Super Giants’ investment in Rishabh Pant – analyzing the expectations, performance, and data behind the debate.
5) Market Value vs. Intrinsic Value: Learn how to spot undervalued gems and avoid overpriced traps.

# Tools You’ll Use:
Python (Pandas, NumPy, Scikit-learn)
Excel / Google Sheets for quick analysis
IPL and T20 player datasets
Visualization tools (Matplotlib / Seaborn / Tableau optional)",20-25 hours,"4-week course having 4 assignments, the first 3 assignments are of 60% weight and the final assignment is for 40% weight. The assignments would be basics of data science, python and machine learning. The final project would compromise of combining all the learnings and making the model to predict the salaries for auction-2026.",Minimum 2 of 3 assignment submission and final project is mandatory,Basic Python is recommended ,Aryansh Kukreja (9992888093),"Data Collection & Preprocessing
Goal: Build a clean dataset of IPL player statistics and salaries ready for modeling.","Model Building
Goal: Train regression models to predict salary using player performance data.","Feature Importance & Insights
Goal: Understand and explain what features most influence predicted salary.","Deployment & Final Report
Goal: Wrap up, optionally deploy, and write a professional project report.",
The Sports and Skills Summer School,4,42,VisionAthlete: AI-Powered Sports Biomechanics,Institute Sports Council,"Use computer vision to analyze the biomechanics of specific sports movements—such as a snatch in weightlifting, a spike in volleyball, a tennis serve, a golf swing, or a baseball pitch—by extracting pose data from videos. Generate an efficiency or accuracy rating by comparing the technique to expert models or ideal biomechanical patterns.","This project focuses on using computer vision to perform biomechanical analysis of specific, well-defined sports movements in order to assess the efficiency and accuracy of an athlete’s technique. By targeting actions such as a snatch in weightlifting, a volleyball spike, a tennis serve, a golf swing, or a baseball pitch, the system analyzes video footage to extract body pose data using pose estimation tools like OpenPose, MediaPipe, or DeepLabCut. From this data, it calculates key biomechanical metrics such as joint angles, body alignment, timing, and symmetry. These features are then compared to expert performance models or biomechanical standards to generate an efficiency or accuracy rating. The goal is to provide athletes and coaches with objective, data-driven feedback that can be used to improve performance, reduce injury risk, and monitor technique over time. With potential applications in coaching, rehabilitation, and athlete development, the system can be extended to support real-time feedback, multi-angle video analysis, or integration with wearable sensors for even deeper insights.",3-4 hours,"Project-  Build a mini “AI Sports Coach” that analyzes a short video of a sports movement (e.g., a tennis serve, volleyball spike, or squat) using pose estimation and compares it to an expert model to generate a basic performance score and improvement tips.",Completion of the project,Just your enthusiasm!,Nehal Gupta (8291025201),"Understand basic sports biomechanics
Introduction to computer vision
Learn about pose estimation

","Understand keypoints and pose data
Extract biomechanical features: joint angles, symmetry, body alignment","Compare athlete pose data with expert reference
Create scoring metrics for accuracy or efficiency
Generate visual & textual feedback","Integrate all components into a final working system
Polish and present the project
",
The Sports and Skills Summer School,4,43,Automatic Chess Bot design,Institute Sports Council,"Want to code like a pro and outplay your friends at chess? This short, engaging course teaches you how to build your own chess-playing bot from scratch! Learn the basics of Python, chess logic, game engines, and AI decision-making all while having fun. The necessary theory, and lots of hands-on coding, strategy, and real results on the board.","This Chess Bot Coding Course takes you from beginner to builder as you create your own fully functional chess-playing AI. The course starts with a simple setup process: installing Python, VS Code, and the python-chess library, while introducing you to what a chess bot is and where it's used in the real world. Next, you'll dive into the basics of chess from a programmer's perspective: understanding the board, piece movements, legal moves, and how they're represented in code using notations like FEN and PGN.

Once the foundations are set, you’ll build a command-line based chess engine where a human can play against the bot. You'll begin with a basic random-move bot, then gradually enhance it using evaluation functions that count material and favor stronger positions. The course then dives into real AI logic, implementing the Minimax algorithm and optimizing it with Alpha Beta Pruning to make your bot smarter and more competitive.

For those interested in visual interfaces, the course includes an optional GUI section using pygame or tkinter, allowing you to add drag and drop functionality and display the chessboard visually. You'll also learn how to connect your bot to online platforms like Lichess using their API, enabling it to play games in real time on the internet.

The course concludes with a final project where you'll customize your bot’s strategy and personality, whether defensive, aggressive, or balanced, and test it against both human players and other bots. Throughout the course, you’ll gain practical experience in Python, game logic, AI decision-making, and real-world software development, all while having fun building something meaningful.",8 hours,"Week 1: Implement chessboard representation and legal move generation for basic pieces (pawns, knights). (20%)

Week 2: Develop move execution, update board states, and detect game-ending conditions like check and checkmate. (20%)

Week 3: Build a Minimax search algorithm with a simple board evaluation function to enable basic AI decision-making. (20%)

Week 4: Integrate all components into a full chess bot, test gameplay, debug edge cases, and reflect on improvements. (40%)",A grade of atleast 60%,Just your enthusiasm!,Prateek (6297957507),"Introduction to chess bots and course overview

Installing Python, VS Code, and the python-chess library

Basic Python programming essentials: variables, functions, loops

Understanding the chessboard, pieces, and moves programmatically

Learning chess notation (FEN and PGN) and legal move generation

Writing simple scripts to create and display a chessboard with moves","Developing a command-line chess game where a human can play moves

Implementing move validation and turn management

Creating a simple bot that makes random valid moves

Introduction to evaluation functions: material count basics

Enhancing the bot to pick moves based on material advantage

Testing and debugging game flow","Understanding the Minimax algorithm and decision trees

Coding Minimax to evaluate moves several steps ahead

Learning and applying Alpha-Beta pruning to optimize Minimax

Improving the bot’s move quality and response time

Introducing adjustable difficulty levels based on search depth

Testing bot strength and behavior with different settings

","(Optional) Building a simple GUI with pygame or tkinter to visualize the board

Adding user interaction: drag-and-drop or click-to-move

Integrating the AI bot logic with the GUI for smooth gameplay

Connecting your bot to online platforms like Lichess via API (overview)

Final project: customize your bot’s strategy and test against players or bots

Tips for further learning and improvement",
The Sports and Skills Summer School,4,44,Journalistic Writing,English Learning Program,"Explore Journalism: Learn to Write News, Engaging Stories, and Opinion Pieces. Discover the Power of Your Words!","In this Journalism course, students will cover a lot of ground across four sections. First, they'll learn the basics like how to write news, conduct interviews, make surveys, and understand bias in reporting. Then, they'll move on to feature writing, where they'll see how to write engaging stories on serious, educational, and sensitive topics. After that, they'll dive into long-form journalism, studying great examples and learning how to dig deep into a story. Finally, they'll wrap up with op-eds, focusing on writing persuasive pieces about social issues without getting too political. Throughout the course, we'll highlight the importance of telling stories in a captivating way and using different media tools effectively. 
This course in journalism offers essential skills for effective communication across various fields. From news writing and conducting interviews to understanding bias and crafting engaging narratives, it equips you with tools applicable in journalism, content creation, public relations, and more. With a focus on research, critical thinking, and ethical considerations, it prepares you to navigate and contribute to media landscapes responsibly. Whether you're pursuing a career in journalism or seeking to enhance your communication abilities, this course provides valuable knowledge and practical tools for success.",3-4 hours,"Assignment at the end of week 1: 
-News/article analysis
-Interview questionnaire making/modification of previously made questionnaire
-Relevant survey design
2nd week: Based on the survey results, they will write a feature report explaining the outcomes, they can mention any similarities or causes for the outcomes.
3rd and 4th week: Assignments add up to the final project i.e. writing an article. ","Completing all the assignments and the final project, as well as attending at least 3 out of 4 webinars.",Just your enthusiasm!,"Aarya Gaikwad (9322729792), Aditya Rana (9692894061), Ayush Jaiswal (7974399532), Gouri Namdeo (7977028289), Goutam Singh (9340703592), Rishit Kesharwani (9799158677)","Introduction to Journalism:
 Basic lesson on news writing (how to approach/write news)
How to take interviews?
 Survey design
 Journalism bias and ethics
Documentary analysis","Will be  presenting  2 or 3 examples of how feature writing can be used to explain a serious topic, educational topic and sensitive topic and anything else as well. Will guide on how to write an engaging narrative  and how they can possibly include in their final project.",What is long-form journalism? What kind of topics are covered in long-form journalism? Analysis of examples - best long-form journalism pieces since 2011. How to research such pieces.,"Give initial reading of how to approach research and writing, assignment: focused on some social or non-political policy issue, how to write a coherent article.","Multimedia: Evolution of journalism
Traditional Vs Digital Storytelling
Impact of technology and News reporting 
Photojournalism and infographics( data journalism)
Visual storytelling, documentary and impact of audio
How to create a podcast"
The Sports and Skills Summer School,4,45,Advanced Music Production,Symphony,Advanced Level Music Production to refine your skillset,"This intensive course is designed for music producers who already possess foundational knowledge and seek to master advanced production techniques, sound design, mixing, and creative direction. Through hands-on projects, deep technical analysis, and exposure to professional workflows, students will refine their skills to a professional standard. The course bridges the gap between competent production and industry-ready music creation, tailored across genres such as electronic, hip-hop, metal and fusion.",4 hours,"Attendance of classes, Weekly assignments (Worksheet), And mixing/production deliverables","above 80% attendance, Assignment submissions",IMLP Production completed/ instructor approval,Siddharth Kumar Khanda (7568267949),"Session 1: Deep Dive into Session Management

Advanced DAW templates, routing, session prep for genres

Gain staging, reference tracks, CPU/latency optimization


Session 2: Critical Listening & Ear Training

Frequency identification drills, stereo imaging exercises","Advanced EQ & Compression

Session 1: Surgical vs Musical EQ Techniques

Dynamic EQ, mid-side EQ, tonal shaping across busses


Session 2: Compression Mastery

Parallel, multiband, and serial compression

Shaping transients, glueing mixes, compressor types","Sound Design & Creative Processing

Session 1: Synthesis and Sampling

Advanced subtractive/FM/wavetable synthesis, resampling

Layering synths, textures, cinematic sound design basics


Session 2: FX Chains & Creative Processing

Reverb tricks, delay throws, vocal FX, modulation FX chains","Mixing Advanced Elements

Session 1: Mixing Vocals Deep Dive

De-essing, tuning, doubling, saturation, FX automation


Session 2: Drum and Bass Integration

Kick/bass glue, transient shaping, rhythmic pocket",
The Sports and Skills Summer School,4,46,An Introduction to Writing and Performing Stand-Up Comedy,ComedyCons ,"This course will teach you can take any funny idea and extract the maximum out of it. It teaches you how stand-up comedians write their material, from the basic terms to complex principles. And it teaches you how to perform on stage with the genuine energy that makes it work every time.","This course provides you everything you need to start writing your jokes and perform stand-up comedy. It begins from the basics, and takes you to the advanced principles of joke-writing. It tells you how to come up with a joke and then modify it so that it reaches it's full potential to generate the maximum amount of laughter. The course ends with a part on performance, about how you can be genuine and confident on stage. After finishing this course, you only need to practice all that you will learn, and no one can stop you from becoming a stand-up comedian.",3 hours ," 10 % completing the study material , 90% assignments and quizzes",Completion of quizzes and assignments,Just your enthusiasm!,Viraj Pondkule : +91 77559 02716,"Types of stand up comedy, premise, set up, punchline, attitude of a joke","Writing a joke: Taking a funny idea and converting it into a joke. Principles of joke writing 1: Seesaw Theory, Balloon Pops, Boom mic moments.","
Writing a joke: Principles of joke writing 2: Victim of a joke, Triple Punches, Tension, Misdirection, Status, Persona","Performing Stand-up: Building likability using self-deprecating humor, Genuine energy, Making the audience comfortable, being confident on stage",
The Sustainability Summer School,5,51,"Sustainable Economics: Markets, Policies, and the Planet",Economics Association,"Can markets save the planet? 
Sustainable Economics: Markets, Policies, and the Planet is a bold, engaging course that explores how economic thinking can fight climate change and shape a fairer, greener future. You'll uncover the hidden costs of pollution, learn how carbon pricing works, explore how green finance and ESG investing are reshaping global markets, and understand how cities and jobs can transition to a low-carbon economy without leaving people behind. No prior economics background needed, just curiosity, critical thinking, and the drive to make a difference.","Can markets really save the planet? Join Sustainable Economics: Markets, Policies, and the Planet — an exciting, action-packed course where climate meets capitalism, and students become changemakers. Explore how economic tools can tackle the climate crisis through four power-packed modules:
Module 1: Climate by the Numbers – Understand market failures, public goods, and the true cost of carbon.
Module 2: Pricing Carbon – Learn how taxes, cap-and-trade, and smart policies can drive change.
Module 3: Green Finance – Discover ESG, green bonds, and how investing can build a sustainable future.
Module 4: Just Green Transition – Dive into green jobs, urban sustainability, and equity in the energy shift.
No heavy economics background needed — just curiosity and the will to change the world. Ready to rethink the future?


",6-8 hours,weekly conceptual quizzing and a project on the basis of your understanding of the concept,Submit a final project (basic effort and relevance expected),Just your enthusiasm!,Eshani Mailk (9952999987),"Module 1: Economics Meets Climate – The Crisis in Numbers
Why the market fails when it comes to the environment

What externalities and public goods have to do with rising sea levels

How to see climate change in numbers

Watch: The Climate Casino + Eye-opening videos on global warming’s real economic cost","Module 2: Pricing Carbon – Can Markets Save the Planet?
What exactly is a carbon tax?

Is cap-and-trade just jargon or a real solution?

Can markets fix themselves?

Dive into resources from the IMF, CEPR, and the World Bank + gripping explainer videos","Module 3: Green Finance & Investing in a Sustainable Future
What is ESG and why are top companies racing to prove theirs?

What makes a green bond green?

Can finance be a force for good?

Explore how Wall Street and Main Street are aligning with the Earth’s needs

","Module 4: Cities, Jobs & the Just Green Transition
What does a just transition look like for workers and cities?

What are green jobs, and how can YOU get one?

How do we make cities smart and sustainable?

From climate equity to urban innovation, this module is all about real change and future careers",Work on project
The Sustainability Summer School,5,52,Zero Waste Vision - OpenCV: For when you want Vision but aren’t Wanda,Team Zero Waste,"Welcome to Zero Waste Vision: a chill, 4-week self-paced intro to computer vision. We’ll start from square one (literally, pixels) and show you how images are just numbers in disguise. From reading and tweaking images to playing with webcam feeds and deploying YOLOv8 for object detection, you’ll teach your code to see the world.
","Wanda rewrote reality with her mind. You? You’ll do it with code. This summer, ditch the drama and embrace the pixels because we’re teaching you how to make machines see using OpenCV, Python, and YOLOv8. It’s 4 weeks of no-pressure, slightly magical computer vision, minus the emotional breakdowns (we hope).

Here’s  what you’ll learn:

1.What is actually an image?
2.How computers look at images and say “huh, that’s a cat”
3.OpenCV basics: filters, contours, webcam chaos
4.YOLOv8 for object detection—because “You Only Look Once” 
5.A final project where you bend reality (or at least a video feed) to your will

We’ll give you curated resources, mini-assignments, and exactly zero lectures
",6-7 hours,"We won't grade you with a red pen, but here's how we’ll know you’re killin’ it:

Mini Assignments (40%)
Short, hands-on tasks each week like:
  Grayscale and filter effects
  Webcam capture + live filters
  Detecting basic objects with YOLOv8

Final Project (50%)
Pick a fun problem and solve it using YOLOv8
Example: detect plastic bottles in the trash, find snacks in your room, etc.
Submit code + short report (or demo video)

Meme / Reflection (10%)

One-paragraph takeaway OR one solid meme about your journey.
Extra points for GIFs. We have no shame.
","To earn your certification Submit at least 3/4 mini assignments,  Complete final project,   Send a meme/reflection that proves you survived.","Know a bit of Python (loops, functions, lists), Can install libraries using pip (or are willing to try 37 times), are curious enough to Google stuff, Basically, bring enthusiasm. We’ll bring the rest.",Astha Sahu (8144151551),"Intro to Computer Vision & OpenCV

What is computer vision? Use cases & real-world magic- Set up OpenCV in Python- Read, write, display, and modify images","Videos, Filters & Webcam Magic

Access webcam & video streams- Draw shapes, overlay text on frames- Apply filters (blur, grayscale, edge detection)","YOLOv8 Basics & Object Detection

Install YOLOv8 (Ultralytics)- Run object detection on images/videos- Understand bounding boxes, class labels, and confidence scores","Custom Project Week

Pick an object/topic of interest- Use YOLOv8 on custom or real-time data- Submit final project + bonus meme or reflection
",
The Sustainability Summer School,5,53,"The Carbon Code: Trading, Tracking & Transforming Emissions",Energy and Sustainability Club ,Carbon as Currency: Trading the Future of the Climate,"Over four immersive weeks, you’ll gain a deep understanding of how carbon credits work, who uses them, how they’re traded, and what impact they really have. You'll calculate your own carbon footprint, examine how major companies offset emissions, and explore creative ways to drive meaningful climate action. Whether you're interested in clean-tech or shaping the future of carbon markets or just want an idea of how carbon problems are being tackled today, this course will give you the tools and vision to innovate at the heart of the sustainability movement.",3-4 hours,"3 activities - 10% each
3 quizzes - 10% each
end project - 40%",Minimum 60 % marks in the course and mandatory project submission,Just your enthusiasm!,"Ojas Dangi (8448877871), Shrestha Jain (9491715670)","Detailed insights about Carbon Footprints and Carbon Credits
","Credit Crafting: Behind the Scenes of Carbon Projects
","Trading and Pricing of Carbon Credits, Foundations of Carbon Markets 
","Ethics and Future Trends, Career Opportunities",
The Sustainability Summer School,5,54,Solar Energy & The Global Shift,Energy and Sustainability Club ,"Watt's Next? Solar
Explore the science of photovoltaics: World’s fastest-growing energy source","- Explore the role of solar energy in the global transition to clean and sustainable future.
- Understand the science behind solar cells, including semiconductor physics and how sunlight is converted into electricity.
- Learn light management techniques to enhance solar cell efficiency through smart optical design.
- Real world solar applications, business models, and career pathways in the Indian and global context. Gain practical knowledge through case studies and solar tools.",3-4 hours,"15% weightage Week 1 quiz 
25% weightage Week 2 quiz
25% weightage Week 3 quiz
35% weightage of final presentation",Attempt all 3 quizzes and make the final presentation,Just your enthusiasm!,"Samay Dora: (8847603399), Sushat Kumar Kashyap(6391275528)","Understand the global energy transition, solar basics and India’s solar growth.","Learn how solar cells work, the role of semiconductors, solar cell types, and how light is managed in PV technology.","Learn about solar module design, system layout, performance factors, inverters, and grid vs off-grid systems.","Explore real world solar use cases, business models, career paths and final presentation from the students.",-
The Sustainability Summer School,5,55,Sustainability Research & Policy: Understanding Campus Waste and Policy Design,Team Zero Waste,"This course empowers students to explore and address campus waste management issues by conducting audits, designing evidence-based policies, and proposing infrastructure solutions. It integrates hands-on learning with research and policy formulation for real-world impact.","This four-week course introduces students to the systemic challenges and solutions surrounding waste management on campus. Through a blend of live sessions, practical audits, policy drafting, and infrastructure planning, learners engage deeply with different types of waste: wet, dry, e-waste, and biomedical. Each week builds upon the previous one, encouraging students to focus on a specific waste type and propose actionable policy and design solutions tailored to their campus. The course also emphasizes stakeholder engagement, real data analysis, and sustainability-centered thinking. 

Final Deliverables
1. Waste Audit Report: A detailed report on the data collected during their audit, including
insights and recommendations for improvement.
2. Policy Proposal: A policy document that includes the waste type chosen, the identified
problem, and the proposed policy solution.
3. Waste Management Infrastructure Design: A visual model of their proposed waste
segregation system, with an evaluation of its potential impact.
4. Reflection: A personal reflection (1 page) on the course, what they learned, and how
they would apply this knowledge to improve sustainability on campus

● Live Sessions: These are common for all students during Weeks 1 to 4. After Week 1,
students will focus on their chosen waste type, with tailored tasks to deepen their
understanding and policy design in that area.
● Personal Choice: In Week 2 and beyond, students select which waste type they want to
focus on (wet, dry, e-waste, biomedical). This allows for a personalized learning
experience, while still maintaining a cohesive course structure.",5 Hours,"10% attendance 
20% Group Discussions
50% Homework tasks
30% Project
",more than 75% attendance  Compulsory presence in GDs and submission of final project ,Just your enthusiasm!,Astha Sahu (8144151551),"○ Introduction to different types of waste on campus (wet, dry, sanitary, e-waste,
biomedical).
○ The importance of waste management and its environmental impact.
○ Overview of IITB's waste management system and general waste flow
(generation, collection, disposal, impact).","○ Introduction to waste audits: What they are, why they matter, and how to conduct
one.
○ Explaining key audit metrics like waste volume, contamination rate, and
segregation efficiency.
○ Students choose the type of waste they’d like to focus on: Wet Waste, Dry
Waste, E-Waste, or Biomedical Waste.
","○ Introduction to policy instruments and their role in waste management.
○ Types of policy tools: Mandates, Nudges, Bans, Incentives, and Voluntary
Agreements.
○ Case study of successful policy implementations (e.g., plastic bans, incentivized
recycling programs).","○ Introduction to designing waste management infrastructure (e.g., 3-bin systems,
composting units, collection methods).
○ Overview of how to engage vendors (recyclers, composters, etc.) and evaluate
them.
○ How to analyze cost-benefit in implementing different infrastructure models
(e.g., on-campus composting vs. outsourcing).
",
The Sustainability Summer School,5,56,Sustainable Policies 101,Sustainability Cell,"In a world facing a climate crisis, understanding how environmental change is governed is just as important as knowing why it matters. This course is your gateway to the policy side of sustainability — no prior background needed. Whether you want to work in policy, start a green initiative, or simply make sense of headlines around COP and carbon credits, Sustainable Policies 101 will give you the vocabulary and vision to start making an impact.","Sustainable Policies 101 is a beginner-friendly course that introduces you to the world of environmental governance — from global climate negotiations to how local municipalities manage waste. Across four weeks, you'll explore the institutions, policies, principles, and real-world case studies that shape environmental decision-making at every level. Whether you're curious about COPs, carbon markets, or how your city plans for sustainability, this course connects the dots between climate science and climate action — in a language you can relate to.",6-7 hours,"70% Project / Assignments
30% Compulsory Attendance 
",Attend at least 2/3 live sessions. Complete the capstone project before the deadline,Just your enthusiasm!,"Arth Trivedy (8368009080), Siddhant Gupta (9167095841), Vinayak Jalan (7043772478)","What is Environmental Policy? Evolution, Purpose, and Scope
Key Actors: Government, Market, Civil Society, Judiciary
Global Environmental Governance Frameworks (UNEP, IPCC, UNFCCC)
Principles of Environmental Governance (PPP, precautionary, intergenerational equity)
","Indian Constitutional Provisions & Key Environmental Laws
Institutions: MoEFCC, CPCB, NGT, State Agencies
The NAPCC, SAPCCs & India’s Climate Commitments
Environmental Impact Assessment (EIA) – Process & Critique
","Global Agreements: Kyoto Protocol, Paris Agreement, Montreal Protocol
The COP Process: How Climate Negotiations Work
Climate Finance: Loss & Damage, Green Climate Fund, Carbon Markets
Climate Justice & Equity: Developed vs Developing Nations
","Urban Sustainability: Smart Cities, Green Buildings, Transit Policy
Local Governance: Municipal Policy, Solid Waste Management, Decentralization
Market Instruments: Carbon Pricing, EPR, Green Bonds
Policy Careers, Youth Action & The Future of Environmental Governance
",Project Week
